#TYPE System.Management.Automation.PSCustomObject
"Nimi","Kasutajanimi","Email","Parool"
" ",,".@hkhk.edu.ee","45"
" ",,".@hkhk.edu.ee","57"
" ",,".@hkhk.edu.ee","60"
" ",,".@hkhk.edu.ee","70"
" ",,".@hkhk.edu.ee","24"
" ",,".@hkhk.edu.ee","40"
" ",,".@hkhk.edu.ee","73"
" ",,".@hkhk.edu.ee","87"
" ",,".@hkhk.edu.ee","71"
" ",,".@hkhk.edu.ee","70"
" ",,".@hkhk.edu.ee","74"
" ",,".@hkhk.edu.ee","38"
" ",,".@hkhk.edu.ee","14"
" ",,".@hkhk.edu.ee","18"
" ",,".@hkhk.edu.ee","83"
" ",,".@hkhk.edu.ee","59"
" ",,".@hkhk.edu.ee","03"
" ",,".@hkhk.edu.ee","49"
" ",,".@hkhk.edu.ee","56"
" ",,".@hkhk.edu.ee","32"
" ",,".@hkhk.edu.ee","57"
" ",,".@hkhk.edu.ee","14"
" ",,".@hkhk.edu.ee","40"
" ",,".@hkhk.edu.ee","93"
" ",,".@hkhk.edu.ee","58"
" ",,".@hkhk.edu.ee","93"
" ",,".@hkhk.edu.ee","56"
" ",,".@hkhk.edu.ee","13"
" ",,".@hkhk.edu.ee","97"
" ",,".@hkhk.edu.ee","10"
" ",,".@hkhk.edu.ee","16"
" ",,".@hkhk.edu.ee","17"
" ",,".@hkhk.edu.ee","52"
" ",,".@hkhk.edu.ee","36"
" ",,".@hkhk.edu.ee","10"
" ",,".@hkhk.edu.ee","57"
" ",,".@hkhk.edu.ee","57"
" ",,".@hkhk.edu.ee","23"
" ",,".@hkhk.edu.ee","17"
" ",,".@hkhk.edu.ee","24"
" ",,".@hkhk.edu.ee","62"
" ",,".@hkhk.edu.ee","43"
" ",,".@hkhk.edu.ee","49"
" ",,".@hkhk.edu.ee","68"
" ",,".@hkhk.edu.ee","28"
" ",,".@hkhk.edu.ee","02"
" ",,".@hkhk.edu.ee","05"
" ",,".@hkhk.edu.ee","12"
" ",,".@hkhk.edu.ee","34"
" ",,".@hkhk.edu.ee","53"
" ",,".@hkhk.edu.ee","51"
" ",,".@hkhk.edu.ee","23"
" ",,".@hkhk.edu.ee","93"
" ",,".@hkhk.edu.ee","68"
" ",,".@hkhk.edu.ee","59"
" ",,".@hkhk.edu.ee","91"
" ",,".@hkhk.edu.ee","03"
" ",,".@hkhk.edu.ee","63"
" ",,".@hkhk.edu.ee","83"
" ",,".@hkhk.edu.ee","73"
" ",,".@hkhk.edu.ee","60"
" ",,".@hkhk.edu.ee","48"
" ",,".@hkhk.edu.ee","84"
" ",,".@hkhk.edu.ee","25"
" ",,".@hkhk.edu.ee","79"
" ",,".@hkhk.edu.ee","38"
" ",,".@hkhk.edu.ee","56"
" ",,".@hkhk.edu.ee","98"
" ",,".@hkhk.edu.ee","95"
" ",,".@hkhk.edu.ee","08"
" ",,".@hkhk.edu.ee","84"
" ",,".@hkhk.edu.ee","62"
" ",,".@hkhk.edu.ee","08"
" ",,".@hkhk.edu.ee","84"
" ",,".@hkhk.edu.ee","12"
" ",,".@hkhk.edu.ee","49"
" ",,".@hkhk.edu.ee","10"
" ",,".@hkhk.edu.ee","43"
" ",,".@hkhk.edu.ee","84"
" ",,".@hkhk.edu.ee","69"
" ",,".@hkhk.edu.ee","17"
" ",,".@hkhk.edu.ee","81"
" ",,".@hkhk.edu.ee","13"
" ",,".@hkhk.edu.ee","91"
" ",,".@hkhk.edu.ee","97"
" ",,".@hkhk.edu.ee","51"
" ",,".@hkhk.edu.ee","29"
" ",,".@hkhk.edu.ee","50"
" ",,".@hkhk.edu.ee","95"
" ",,".@hkhk.edu.ee","08"
" ",,".@hkhk.edu.ee","69"
" ",,".@hkhk.edu.ee","60"
" ",,".@hkhk.edu.ee","45"
" ",,".@hkhk.edu.ee","05"
" ",,".@hkhk.edu.ee","79"
" ",,".@hkhk.edu.ee","35"
" ",,".@hkhk.edu.ee","15"
" ",,".@hkhk.edu.ee","92"
" ",,".@hkhk.edu.ee","37"
" ",,".@hkhk.edu.ee","06"
